Name in English,Year of Extinction,Countries
Ge'ez,400,Ethiopia
Tolcha,840,India
Gothic,900,Ukraine
Pyu,1300,Myanmar
Mozarabic,1595,Spain
Guanche,1600,Spain
Coptic,1700,Egypt
Old Prussian,1710,Russian Federation
Arin,1730,Russian Federation
Polabian,1756,Germany
Cuman,1770,Hungary
Pumpokol,1810,Russian Federation
Mator,1840,Russian Federation
Kott,1850,Russian Federation
Norn,1850,United Kingdom of Great Britain and Northern Ireland
Xakriabá,1864,Brazil
Yola,1875,Ireland
Tsetsaut,1894,Canada
Dalmatian,1898,Croatia
Ahom,1899,India
Kemi Saami,1900,Finland
Matagalpa,1900,Nicaragua
Kazukuru,1910,Solomon Islands
Island Carib,1920,Dominica
Mochica,1920,Peru
Subtiaba,1925,Nicaragua
Cayuse,1930,United States of America
Mattole,1930,United States of America
Pentlatch,1940,Canada
Upper Umpqua,1942,United States of America
Gafat,1947,Ethiopia
|Xam,1950,South Africa
Kaniet,1950,Papua New Guinea
Pijao,1950,Colombia
Slovincian,1950,Poland
Tunica,1950,United States of America
Ventureño,1950,United States of America
Central Kalapuyan,1954,United States of America
Ifo,1954,Vanuatu
Molala,1958,United States of America
Catawba,1959,United States of America
Cappadocian Greek (Turkey),1960,Turkey
Siuslaw,1960,United States of America
Wiyot,1962,United States of America
Barbareño,1965,United States of America
Natchez,1965,United States of America
Sened,1968,Tunisia
Tillamook,1970,United States of America
Hanis,1972,United States of America
Cacaopera,1974,Nicaragua
Moksela,1974,Indonesia
Ona,1974,Argentina
Homa,1975,Sudan
Kwadi,1975,Angola
Yug,1975,Russian Federation
Nagumi,1977,Cameroon
Twana,1980,United States of America
Kato,1982,United States of America
Kansa,1983,United States of America
Cupeño,1987,United States of America
Atsugewi,1988,United States of America
ǁXegwi,1988,South Africa
Kw'adza,1988,United Republic of Tanzania
Nooksack,1988,United States of America
Hukumina,1989,Indonesia
Kamas,1989,Russian Federation
Kamas Turk,1989,Russian Federation
Miami-Illinois,1989,United States of America
Kayeli,1990,Indonesia
Taman,1990,Myanmar
Wappo,1990,United States of America
Panobo,1991,Peru
Ubykh (Caucasus),1992,Russian Federation
Ubykh (Turkey),1992,Turkey
Andoa (Ecuador),1993,Ecuador
Ainu (Kuril),1994,Russian Federation
Ainu (Sakhalin),1994,Russian Federation
Northeastern Pomo,1994,United States of America
Katabaga,1996,Philippines
Seru,1996,Malaysia
Old Sirenik,1997,Russian Federation
Mlahso (Syria),1998,Syrian Arab Republic
Mlahso (Turkey),1998,Turkey
Ineseño,1999,United States of America
Gaagudju,2002,Australia
Serrano,2002,United States of America
Unami,2002,United States of America
Akkala Saami,2003,Russian Federation
Klamath-Modoc,2003,United States of America
Duli,2004,Cameroon
Eyak,2008,United States of America
Aribwatsa,2009,Papua New Guinea
Hoanya,2009,China
Papora,2009,China
